Iteration 145: 4.026 ms/op
Iteration 146: 7.071 ms/op
Iteration 147: 3.533 ms/op
Iteration 148: 6.791 ms/op
Iteration 149: 6.208 ms/op
Iteration 150: 2.051 ms/op
Iteration 151: 5.880 ms/op
Iteration 152: 1.813 ms/op
Iteration 153: 8.124 ms/op
Iteration 154: 6.000 ms/op
Iteration 155: 4.140 ms/op
Iteration 156: 1.535 ms/op
Iteration 157: 1.497 ms/op
Iteration 158: 3.711 ms/op
Iteration 159: 1.497 ms/op
Iteration 160: 3.813 ms/op
Iteration 161: 5.994 ms/op
Iteration 162: 5.152 ms/op
Iteration 163: 1.746 ms/op
Iteration 164: 8.192 ms/op
Iteration 165: 2.102 ms/op
Iteration 166: 5.538 ms/op
Iteration 167: 2.467 ms/op
Iteration 168: 2.134 ms/op
Iteration 169: 7.204 ms/op
Iteration 170: 3.446 ms/op
Iteration 171: 3.357 ms/op
Iteration 172: 8.057 ms/op
Iteration 173: 1.563 ms/op
Iteration 174: 6.297 ms/op
Iteration 175: 5.788 ms/op
Iteration 176: 1.593 ms/op
Iteration 177: 2.256 ms/op
Iteration 178: 7.705 ms/op
Iteration 179: 2.036 ms/op
Iteration 180: 5.141 ms/op
Iteration 181: 4.335 ms/op
Iteration 182: 6.432 ms/op
Iteration 183: 6.008 ms/op
Iteration 184: 2.902 ms/op
Iteration 185: 3.628 ms/op
Iteration 186: 6.662 ms/op
Iteration 187: 3.662 ms/op
Iteration 188: 1.639 ms/op
Iteration 189: 4.835 ms/op
Iteration 190: 3.438 ms/op
Iteration 191: 6.693 ms/op
Iteration 192: 3.367 ms/op
Iteration 193: 3.686 ms/op
Iteration 194: 3.434 ms/op
Iteration 195: 8.043 ms/op
